A.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	mankas lakto	липсва мляко	is lacking of milk	grupo	alternativoj	prononco
level	en la hejmo	в дома	in the home	grupo	alternativoj	prononco
level	necesas havigi ~	необходимо е да се набави ~	it is necessary to procure ~	grupo	alternativoj	prononco
level	iom da manĝaĵo	малко храна	some food	grupo	alternativoj	prononco
level	el vendejo	от магазин	from a store	grupo	alternativoj	prononco
level	havigi iom da manĝaĵo el vendejo	да вземе малко храна от скривалище	to get some food from a hideout	grupo	alternativoj	prononco
level	mi aĉetumos	Ще пазарувам	I will do shopping	grupo	alternativoj	prononco
level	por la naskiĝtago	за рождения ден	for the birthday	grupo	alternativoj	prononco
level	anstataŭ sidi kaj manĝegi	вместо да седнете и да ядете	instead of sitting and eating	grupo	alternativoj	prononco
level	interesaj homoj	интересни хора	interesting people	grupo	alternativoj	prononco
level	kun neinteresaj familianoj	с безинтересни членове на семейството	with uninteresting family members	grupo	alternativoj	prononco
level	mi ŝatus ekskursi	Бих искал да отида на пикник	I would like to go on a picnic	grupo	alternativoj	prononco
level	kun klubanoj	с членове на клуба	with club members	grupo	alternativoj	prononco
level	kun kiuj klubanoj?	с кои членове на клуба?	with which club members?	grupo	alternativoj	prononco
level	diris la patro	каза бащата	said the father	grupo	alternativoj	prononco
level	ia papero, iaj paperoj	някакъв вид хартия, някакви документи	some kind of paper, some kind of papers	grupo	alternativoj	prononco
level	en paperujo	в куфарче	in a briefcase	grupo	alternativoj	prononco
level	en paperujon	в кошче за хартия	into a paper bin	grupo	alternativoj	prononco
level	ĵetis paperojn en paperujon	хвърли документи в кошче за хартия	threw papers into a paper bin	grupo	alternativoj	prononco
level	ĵetis iajn paperojn en paperujon	хвърли някои документи в кошче за хартия	threw some papers into a paper bin	grupo	alternativoj	prononco
level	morgaŭ frue	утре рано	early tomorrow	grupo	alternativoj	prononco
level	anoj de mia sporta klubo	членове на моя спортен клуб	members of my sports club	grupo	alternativoj	prononco
level	kara mia	скъпи мой	my dear	grupo	alternativoj	prononco
level	ĉu ĝuste ~ ?	това вярно ли е?	is that right?	grupo	alternativoj	prononco
level	vi devas foresti	трябва да отсъстваш	you must be absent	grupo	alternativoj	prononco
level	ĉu vi ne ~ ?	нали ~ ?	don't you ~ ?	grupo	alternativoj	prononco
level	viaj samklubanoj	вашите колеги членове на клуба	your fellow club members	grupo	alternativoj	prononco
level	intervidiĝas kun viaj samklubanoj	се виждате с колегите си членове на клуба	sees each other with your fellow club members	grupo	alternativoj	prononco
level	trifoje semajne	три пъти седмично	three times a week	grupo	alternativoj	prononco
level	ĉu mi rajtas ~ ?	мога ли ~?	may I ~ ?	grupo	alternativoj	prononco
level	rajtas ion proponi	има право да предлага нещо	has the right to propose something	grupo	alternativoj	prononco
level	mi kunmanĝos kun la familianoj	Ще ям с членовете на семейството	I will eat with the family members	grupo	alternativoj	prononco
level	sed en la dua parto	но във втората част	but in the second part	grupo	alternativoj	prononco
level	mi foriros kun miaj geamikoj	Ще отида с приятелите си	I will go with my friends	grupo	alternativoj	prononco
level	parolos pri ~	ще говорим за ~	will talk about ~	grupo	alternativoj	prononco
level	malsukcesa veturado	неуспешно устройство	a failed drive	grupo	alternativoj	prononco
level	certe parolos pri la malsukcesa veturado	определено ще говорим за неуспешния диск	will definitely talk about the failed drive	grupo	alternativoj	prononco
level	post la kuko	след тортата	after the cake	grupo	alternativoj	prononco
level	mi ne plu volas tion	Не искам повече това	I don't want that anymore	grupo	alternativoj	prononco
level	volas tion aŭdi	иска да чуе това	wants to hear that	grupo	alternativoj	prononco
level	kial ni ne havas ~ ?	защо нямаме ~ ?	why don't we have ~ ?	grupo	alternativoj	prononco
level	ideoriĉa onklo	богат на идеи чичо	an idea-rich uncle	grupo	alternativoj	prononco
level	havas iun ideoriĉan onklon	има някаква идея богат чичо	has some idea rich uncle	grupo	alternativoj	prononco
level	en mia familio	в семейството ми	in my family	grupo	alternativoj	prononco
level	la patrino ridetis	- усмихна се майката	the mother smiled	grupo	alternativoj	prononco
level	je liaj vortoj	по думите му	at his words	grupo	alternativoj	prononco
level	ŝi scias, ke ~	тя знае това ~	she knows that ~	grupo	alternativoj	prononco
level	iom tro parolas	говори малко прекалено много	talks a little too much	grupo	alternativoj	prononco
level	ne sufiĉas nur ~	не е достатъчно само ~	it's not enough just ~	grupo	alternativoj	prononco
level	riĉeco de la ideoj	богатство от идеи	wealth of ideas	grupo	alternativoj	prononco
level	necesas ankaŭ ~	~ също е необходимо	~ is also needed	grupo	alternativoj	prononco
level	plena monujo por realigi ĝin	пълен портфейл, за да се случи	a full wallet to make it happen	grupo	alternativoj	prononco
level	la patrino daŭrigis ~	майката продължи ~	the mother continued ~	grupo	alternativoj	prononco
level	post iom da silento	след малко мълчание	after a little silence	grupo	alternativoj	prononco
level	antaŭ kelkaj minutoj	преди няколко минути	a few minutes ago	grupo	alternativoj	prononco
level	Ana telefonis, ke ŝi ~	Ана го нарече ~	Ana called that she ~	grupo	alternativoj	prononco
level	ankaŭ ŝi vizitos nin	тя също ще ни посети	she will also visit us	grupo	alternativoj	prononco
level	dolĉa kuko	сладка торта	a sweet cake	grupo	alternativoj	prononco
level	ŝi tre ŝatas dolĉan kukon	тя много обича сладки торти	she really likes sweet cake	grupo	alternativoj	prononco
level	atentas por ne dikiĝi	внимава да не напълнее	is careful not to get fat	grupo	alternativoj	prononco
level	kvankam ŝi atentos	въпреки че тя ще обърне внимание	although she will pay attention	grupo	alternativoj	prononco
level	tuj ŝanĝis la opinion	веднага промени решението си	immediately changed the mind	grupo	alternativoj	prononco
level	dum la ekskurso	по време на екскурзията	during the excursion	grupo	alternativoj	prononco
level	sen ŝi	без нея	without her	grupo	alternativoj	prononco
level	li estus tre soleca	той би бил много самотен	he would be very lonely	grupo	alternativoj	prononco
level	mi tamen pasigos	Ще мина все пак	I will pass though	grupo	alternativoj	prononco
level	mi tamen pasigos la morgaŭan tagon hejme	Все пак ще прекарам утре у дома	I will spend tomorrow at home though	grupo	alternativoj	prononco
level	en juneco	в младостта	in youth	grupo	alternativoj	prononco
level	oni havas	човек има	one has	grupo	alternativoj	prononco
level	havas ankaŭ belecon	също има красота	also has beauty	grupo	alternativoj	prononco
level	malsimplaj laboroj	сложни работни места	complicated jobs	grupo	alternativoj	prononco
level	malsimplajn laborojn	сложни задачи (обективни)	complicated jobs (objective)	grupo	alternativoj	prononco
level	devus plisimpligi	трябва да опрости	should simplify	grupo	alternativoj	prononco
level	en tiu aĝo	на тази възраст	at that age	grupo	alternativoj	prononco
level	li jam fariĝis ~	той вече е станал ~	he has already become ~	grupo	alternativoj	prononco
level	estro de la sporta klubo	шеф на спортния клуб	head of the sports club	grupo	alternativoj	prononco
level	monon oni metas	човек слага пари	one puts money	grupo	alternativoj	prononco
level	en monujon	в портфейл	into a wallet	grupo	alternativoj	prononco
level	metas en monujon	слага в чанта	puts in a purse	grupo	alternativoj	prononco
level	sekvu la ekzemplojn	следвайте примерите	follow the examples	grupo	alternativoj	prononco
level	de la bonaj familianoj	от добрите членове на семейството	from the good family members	grupo	alternativoj	prononco
level	ĉu amikeco pli feliĉigas?	приятелството прави ли те по-щастлив?	does friendship make you happier?	grupo	alternativoj	prononco
level	feliĉigas vin	те прави щастлив	makes you happy	grupo	alternativoj	prononco
level	ol la amo	отколкото любовта	than the love	grupo	alternativoj	prononco
level	kiel ofte vi ~ ?	колко често ~?	how often do you ~ ?	grupo	alternativoj	prononco
level	vi skribas leterojn al ~	пишеш писма до ~	you write letters to ~	grupo	alternativoj	prononco
level	skrivas leterojn al viaj amikinoj	пише писма до вашите приятелки	writes letters to your girl friends	grupo	alternativoj	prononco
level	viaj amikinoj en Italio	вашите приятелки в Италия	your girl friends in Italy	grupo	alternativoj	prononco
level	la rilato inter vi kaj via instruisto	връзката между вас и вашия учител	the relation between you and your teacher	grupo	alternativoj	prononco
level	ĉu la rilato ŝanĝiĝis?	промени ли се връзката?	has the relationship changed?	grupo	alternativoj	prononco
level	ĉu vi jam scias ~ ?	знаеш ли вече ~?	do you already know ~ ?	grupo	alternativoj	prononco
level	sufiĉe bone	доста добре	quite well	grupo	alternativoj	prononco
level	estis vespero en ~	беше вечер в ~	it was evening in ~	grupo	alternativoj	prononco
level	centoj da homoj	стотици хора	hundreds of people	grupo	alternativoj	prononco
level	plenigas la placon	запълва квадрата	fills the square	grupo	alternativoj	prononco
level	junuloj kaj militistoj	млади мъже и войници	young men and soldiers	grupo	alternativoj	prononco
level	maristoj de sur la ŝipoj	моряци от корабите	sailors from the ships	grupo	alternativoj	prononco
level	elstara sinjorino	изключителна дама	outstanding lady	grupo	alternativoj	prononco
level	elstaraj sinjorinoj	изключителни дами	outstanding ladies	grupo	alternativoj	prononco
level	alilandaj vojaĝantoj	чуждестранни пътници	foreign travelers	grupo	alternativoj	prononco
level	ĉiuj moviĝas al urbomezo	всички се местят в центъра на града	everyone is moving to the city center	grupo	alternativoj	prononco
level	iom plue	малко по-нататък	a little further	grupo	alternativoj	prononco
level	ne malproksime de la maro	недалеч от морето	not far from the sea	grupo	alternativoj	prononco
level	troviĝis malgranda placo	имаше малък площад	there was a small square	grupo	alternativoj	prononco
level	iom plue sed ne malproksime	малко по-нататък, но не далеч	a little further but not far	grupo	alternativoj	prononco
level	fine de ĝi	в края му	at the end of it	grupo	alternativoj	prononco
level	proksime de la maro	близо до морето	near the sea	grupo	alternativoj	prononco
level	proksime staris homo	наблизо стоеше мъж	a man stood nearby	grupo	alternativoj	prononco
level	laŭ la vestaĵo	според облеклото	according to the clothing	grupo	alternativoj	prononco
level	oni facile scii ~	човек може лесно да знае ~	one may know easily ~	grupo	alternativoj	prononco
level	oni povis ekscii, ke ~	беше възможно да се установи, че ~	it was possible to find out that ~	grupo	alternativoj	prononco
level	gondolisto de iu riĉulo	гондолиер на богат човек	a rich man's gondolier	grupo	alternativoj	prononco
level	povis ekscii, ke li estas gondolisto	може да разбере, че е гондолиер	could find out that he was a gondolier	grupo	alternativoj	prononco
level	li rigardis ~	той изглеждаше ~	he looked ~	grupo	alternativoj	prononco
level	rigardis la ĝojan hommulton	погледна радостната тълпа	looked at the joyful crowd	grupo	alternativoj	prononco
level	rideto lumigis lian vizaĝon	усмивка озари лицето му	a smile lit up his face	grupo	alternativoj	prononco
level	kiam li ekvidis mariston	когато видя един моряк	when he saw a sailor	grupo	alternativoj	prononco
level	la mariston, kiu alvenis	пристигналият моряк	the sailor who arrived	grupo	alternativoj	prononco
level	la flanko de la maro	страната на морето	the side of the sea	grupo	alternativoj	prononco
level	alvenis el la flanko de la maro	пристигна откъм морето	arrived from the side of the sea	grupo	alternativoj	prononco
level	ĉu tio estas vi, Stefano?	ти ли си, Стивън?	is that you, Stephen?	grupo	alternativoj	prononco
level	ekkriis la gondolisto	— възкликна гондолиерът	exclaimed the gondolier	grupo	alternativoj	prononco
level	ĉiuj diras, ke ~	всички казват, че ~	everyone says that ~	grupo	alternativoj	prononco
level	en la manojn de la Turkoj	в ръцете на турците	into the hands of the Turks	grupo	alternativoj	prononco
level	ke vi falis en la manojn de la Turkoj	че си паднал в ръцете на турците	that you fell into the hands of the Turks	grupo	alternativoj	prononco
level	ni renkontis unu	срещнахме един	we met one	grupo	alternativoj	prononco
level	el niaj ŝipoj	от нашите кораби	from our ships	grupo	alternativoj	prononco
level	ĝi sekvis nin	последва ни	it followed us	grupo	alternativoj	prononco
level	dum pli ol unu horo	за повече от час	for more than an hour	grupo	alternativoj	prononco
level	sed ne estas facile iri ~	но не е лесно да отидете ~	but it is not easy to go ~	grupo	alternativoj	prononco
level	iri pli rapide ol nia ŝipo	да върви по-бързо от нашия кораб	to go faster than our ship	grupo	alternativoj	prononco
level	kiaj novaĵoj estas tie ĉi?	какви новини има тук	what news is here?	grupo	alternativoj	prononco
level	tie ĉi en Venecio	тук във Венеция	here in Venice	grupo	alternativoj	prononco
level	nenio interesa	нищо интересно	nothing interesting	grupo	alternativoj	prononco
level	nur granda malfeliĉo	просто голямо нещастие	just a big misfortune	grupo	alternativoj	prononco
level	ĉu vi konas Pietron?	познаваш ли Пиетро	do you know Pietro?	grupo	alternativoj	prononco
level	mi konas lin	Аз го познавам	I know him	grupo	alternativoj	prononco
level	granda ŝipo subakvigis lian gondolon	голям кораб потопи гондолата му	a large ship submerged his gondola	grupo	alternativoj	prononco
level	kaj kio pri li?	а какво за него?	and what about him?	grupo	alternativoj	prononco
level	la gondolo subakviĝis	гондолата потъна	the gondola sank	grupo	alternativoj	prononco
level	okazis, ke ~	случи се, че ~	it happened that ~	grupo	alternativoj	prononco
level	ni troviĝis proksime	бяхме близки	we were close	grupo	alternativoj	prononco
level	ni prenis lin en nian gondolon	взехме го с нашата гондола	we took him in our gondola	grupo	alternativoj	prononco
level	en la sama tempo	по същото време	at the same time	grupo	alternativoj	prononco
level	mia estro subakviĝis	шефът ми се удави	my boss drowned	grupo	alternativoj	prononco
level	por helpi junulinon	да помогне на млада жена	to help a young woman	grupo	alternativoj	prononco
level	junulinon, kiu preskaŭ mortis	млада жена, която почти умря	a young woman who almost died	grupo	alternativoj	prononco
level	kun sia onklo	с чичо си	with his uncle	grupo	alternativoj	prononco
level	preskaŭ mortis kun sia onklo	почти умря с чичо си	almost died with his uncle	grupo	alternativoj	prononco
level	tie estis junulino	имаше млада жена	there was a young woman	grupo	alternativoj	prononco
level	lin ni ne povis helpi	не можахме да му помогнем	we could not help him	grupo	alternativoj	prononco
level	estis grava homo	беше важен човек	was an important person	grupo	alternativoj	prononco
level	kio alvenigis vin en Venecion?	какво те доведе във Венеция?	what brought you to Venice?	grupo	alternativoj	prononco
level	amiko mia	Моят приятел	my friend	grupo	alternativoj	prononco
level	la maristo ekrigardis	морякът вдигна очи	the sailor looked up	grupo	alternativoj	prononco
level	rapide ekrigardis sian amikon	бързо погледна приятеля си	quickly glanced at his friend	grupo	alternativoj	prononco
level	kaj komencis diri	и започна да казва	and began to say	grupo	alternativoj	prononco
level	do vi scias ~	така че знаете ~	so you know ~	grupo	alternativoj	prononco
level	mi alportis ~	Донесох ~	I brought ~	grupo	alternativoj	prononco
level	la gondolisto subite haltigis lin	— внезапно го спря гондолиерът	the gondolier suddenly stopped him	grupo	alternativoj	prononco
level	li diris	той каза	he said	grupo	alternativoj	prononco
level	tiam iu homo pasis	после мина един мъж	then a man passed by	grupo	alternativoj	prononco
level	iu homo pasis apud li	покрай него минал мъж	a man passed by him	grupo	alternativoj	prononco
level	li ankoraŭ ne estis tridekjara	той още нямаше трийсет	he was not yet thirty	grupo	alternativoj	prononco
level	kaj lia vizaĝo estis senkolora	и лицето му беше безцветно	and his face was colorless	grupo	alternativoj	prononco
level	lia iro estis certa kaj facila	ходът му беше сигурен и лесен	his going was sure and easy	grupo	alternativoj	prononco
level	lia vizaĝo estis malĝoja	лицето му беше тъжно	his face was sad	grupo	alternativoj	prononco
level	kiam li ekvidis la homon, ~	когато видя човека, ~	when he saw the man, ~	grupo	alternativoj	prononco
level	oni diras, ke ~	се казва, че ~	it is said that ~	grupo	alternativoj	prononco
level	multaj gravuloj donas ~	много важни хора дават ~	many important people give ~	grupo	alternativoj	prononco
level	sekreta laboro	тайна работа	secret work	grupo	alternativoj	prononco
level	sekretaj laboroj	тайни работни места	secret jobs	grupo	alternativoj	prononco
level	donas sekretajn laborojn al li	му дава тайни задачи	gives secret jobs to him	grupo	alternativoj	prononco
level	tro da sekretoj	твърде много тайни	too many secrets	grupo	alternativoj	prononco
level	li scias tro da sekretoj	той знае твърде много тайни	he knows too many secrets	grupo	alternativoj	prononco
level	tial ili timas	затова ги е страх	therefore they are afraid	grupo	alternativoj	prononco
level	sendi lin en malliberejon	да го изпрати в затвора	to send him to prison	grupo	alternativoj	prononco
level	diris la maristo	- каза морякът	said the sailor	grupo	alternativoj	prononco
level	kaj dum li parolis	и както говореше	and as he spoke	grupo	alternativoj	prononco
level	li montris la domegon	той посочи към имението	he pointed to the mansion	grupo	alternativoj	prononco
level	la domego de Doĝoj	имението на дожите	the mansion of Doges	grupo	alternativoj	prononco
level	multaj gravuloj bezonas lian helpon	много важни хора се нуждаят от неговата помощ	many important people need his help	grupo	alternativoj	prononco
level	kiom ili pagas?	колко плащат?	how much they pay?	grupo	alternativoj	prononco
level	pagas al li	плаща му	pays him	grupo	alternativoj	prononco
level	pagas por unu mortigo	плаща за едно убийство	pays for one kill	grupo	alternativoj	prononco
level	certe ne malpli ol ~	със сигурност не по-малко от ~	certainly not less than ~	grupo	alternativoj	prononco
level	ol cent moneroj	от сто монети	than a hundred coins	grupo	alternativoj	prononco
level	ne forgesu, ke ~	не забравяйте това ~	don't forget that ~	grupo	alternativoj	prononco
level	ke li laboras por tiuj	че работи за тях	that he works for them	grupo	alternativoj	prononco
level	por tiuj, kiuj havas sufiĉe da mono	за тези, които имат достатъчно пари	for those who have enough money	grupo	alternativoj	prononco
level	por pagi al li	да му платя	to pay him	grupo	alternativoj	prononco
level	en Venecio estas ~	във Венеция има ~	in Venice there is ~	grupo	alternativoj	prononco
level	tiuj aferoj	тези неща	those things	grupo	alternativoj	prononco
level	forgesi tiujn aferojn	да забравиш тези неща	to forget those things	grupo	alternativoj	prononco
level	aferoj, kiujn estas pli bone forgesi	неща, които е по-добре да забравите	things that are better forgotten	grupo	alternativoj	prononco
level	se vi volas trankvile manĝi	ако искате да хапнете на спокойствие	if you want to eat in peace	grupo	alternativoj	prononco
level	trankvile manĝi vian panon	да си изядеш хляба на спокойствие	to eat your bread in peace	grupo	alternativoj	prononco
level	estis iom da silento	имаше известно мълчание	there was some silence	grupo	alternativoj	prononco
level	kaj poste	и по-късно	and later	grupo	alternativoj	prononco
level	la gondolisto denove ekparolis	— заговори отново гондолиерът	the gondolier spoke again	grupo	alternativoj	prononco
level	vi venis ĝustatempe	дойде точно навреме	you came just in time	grupo	alternativoj	prononco
level	por vidi ŝipkuron	да видите състезание с лодки	to see a boat race	grupo	alternativoj	prononco
level	iu diris malforte	- каза слабо някой	someone said weakly	grupo	alternativoj	prononco
level	proksime de la gondolisto	близо до гондолиера	near the gondolier	grupo	alternativoj	prononco
level	la estro de la urbo	кмета на града	the mayor of the city	grupo	alternativoj	prononco
level	senvorte montris al la gondolo	безмълвно посочи гондолата	wordlessly pointed to the gondola	grupo	alternativoj	prononco
level	diris la gondolisto	— каза гондолиерът	said the gondolier	grupo	alternativoj	prononco
level	kaj prenis la manon de sia amiko	и хвана ръката на приятеля си	and took his friend's hand	grupo	alternativoj	prononco
level	ĵetas la paperon	хвърля хартията	throws the paper	grupo	alternativoj	prononco
level	en la paperujon	в кошчето за хартия	into the paper bin	grupo	alternativoj	prononco
level	la knabinoj ĵetis la paperojn	момичетата хвърлиха книжата	the girls threw the papers	grupo	alternativoj	prononco
level	kie estas mia skribilo?	къде ми е писалката	where is my pen	grupo	alternativoj	prononco
level	mi volas respondi al li	Искам да му отговоря	I want to answer him	grupo	alternativoj	prononco
level	la suno malaperis	слънцето изчезна	the sun disappeared	grupo	alternativoj	prononco
level	kaj nun estas preskaŭ malhele	а сега е почти тъмно	and now it is almost dark	grupo	alternativoj	prononco
level	bonvolu manĝi	моля те яж	please eat	grupo	alternativoj	prononco
level	bonvolu manĝi la panon	моля, яжте хляба	please eat the bread	grupo	alternativoj	prononco
level	per manĝiloj	с прибори за хранене	with cutlery	grupo	alternativoj	prononco
level	pardonu min	Извинете ме	excuse me	grupo	alternativoj	prononco
level	rajtas resti	има право да остане	is allowed to stay	grupo	alternativoj	prononco
level	mi ne rajtas resti	Нямам право да остана	I have no right to stay	grupo	alternativoj	prononco
level	ĉu vi povas kunporti ~ ?	можеш ли да донесеш ~?	can you bring ~ ?	grupo	alternativoj	prononco
level	de mia fratino	от сестра ми	from my sister	grupo	alternativoj	prononco
level	kiam vi aĉetis ~ ?	кога купи ~?	when did you buy ~ ?	grupo	alternativoj	prononco
level	aĉetis tiun muzikilon	купи този музикален инструмент	bought that musical instrument	grupo	alternativoj	prononco
level	kiu laste uzis ?	кой използва последно?	who used last?	grupo	alternativoj	prononco
level	uzis mian ŝlosilon	използвах моя ключ	used my key	grupo	alternativoj	prononco
level	ĉu vi veturis?	карал ли си	did you drive?	grupo	alternativoj	prononco
level	en Venecio	във Венеция	in Venice	grupo	alternativoj	prononco
level	ankaŭ per gondolo	също и с гондола	also by gondola	grupo	alternativoj	prononco
level	ĉu vi povos ekdormi?	ще можеш ли да заспиш	will you be able to fall asleep?	grupo	alternativoj	prononco
level	tiam, kiam silentiĝis	тогава, когато настъпи тишина	then, when there was silence	grupo	alternativoj	prononco
level	la sinjoro estis alta	господинът беше висок	the gentleman was tall	grupo	alternativoj	prononco
level	alta, dika	висок, дебел	tall, fat	grupo	alternativoj	prononco
level	dika, peza	дебел, тежък	thick, heavy	grupo	alternativoj	prononco
level	peza kaj larĝa	тежък и голям	heavy and large	grupo	alternativoj	prononco
level	estis alta, dika, peza, kaj larĝa	беше висок, дебел, тежък и голям	was tall, thick, heavy, and large	grupo	alternativoj	prononco
level	donis forton	даде сила	gave strength	grupo	alternativoj	prononco
level	havinda forto	сила, която си заслужава	a force worth having	grupo	alternativoj	prononco
level	havinda korpoforto	физическа сила, която си заслужава	physical strength worth having	grupo	alternativoj	prononco
level	tio donis	това даде	that gave	grupo	alternativoj	prononco
level	donis al li	даде му	gave him	grupo	alternativoj	prononco
level	tio donis forton	което даде сила	that gave strength	grupo	alternativoj	prononco
level	donis havindan korpoforton	даде сила на тялото, което си заслужава	gave body strength worth having	grupo	alternativoj	prononco
level	lia aspekto	външния му вид	his appearance	grupo	alternativoj	prononco
level	grandula aspekto	външен вид на висок човек	appearance of a tall person	grupo	alternativoj	prononco
level	eta rolo	малка роля	a small role	grupo	alternativoj	prononco
level	ludis rolon	изигра роля	played a role	grupo	alternativoj	prononco
level	ne eta rolo	не малка роля	not a small role	grupo	alternativoj	prononco
level	ludis etan rolon	изигра малка роля	played a small role	grupo	alternativoj	prononco
level	ludis ne etan rolon	изигра не малка роля	played no small role	grupo	alternativoj	prononco
level	en la fakto, ke ~	във факта, че ~	in the fact that ~	grupo	alternativoj	prononco
level	la plimulto el la homoj	по-голямата част от хората	the majority of the people	grupo	alternativoj	prononco
level	se ne timis	ако не се страхува	if not afraid	grupo	alternativoj	prononco
level	lin timis	се страхуваше от него	was afraid of him	grupo	alternativoj	prononco
level	se lin timis	ако се страхуваше	if he was afraid	grupo	alternativoj	prononco
level	se ne lin timis	ако не се страхува от него	if not afraid of him	grupo	alternativoj	prononco
level	certe respektis	със сигурност уважаван	certainly respected	grupo	alternativoj	prononco
level	almenaŭ pripensis ~	поне помислих за ~	at least thought about ~	grupo	alternativoj	prononco
level	antaŭ ol ~	преди ~	before ~	grupo	alternativoj	prononco
level	kontentigi lin	за да го задоволя	to satisfy him	grupo	alternativoj	prononco
level	malkontentigi lin	да го разочароваш	to displease him	grupo	alternativoj	prononco
level	antaŭ ol malkontentigi ~	преди незадоволяване ~	before dissatisfying ~	grupo	alternativoj	prononco
level	antaŭ ol decidi ~	преди да реши ~	before deciding ~	grupo	alternativoj	prononco
level	decidi malkontentigi ~	да реши да не хареса ~	to decide to displease ~	grupo	alternativoj	prononco
level	decidi kontentigi lin	да реши да го задоволи	to decide to satisfy him	grupo	alternativoj	prononco
level	antaŭ ol decidi malkontentigi lin	преди да реши да го разочарова	before deciding to displease him	grupo	alternativoj	prononco
level	tio, kio estas utila	това, което е полезно	that, which is useful	grupo	alternativoj	prononco
level	ofte utila dumtage	често полезен през деня	often useful during the day	grupo	alternativoj	prononco
level	malplaĉa ĝeno	неприятна неприятност	an unpleasant nuisance	grupo	alternativoj	prononco
level	per si	самостоятелно	by himself	grupo	alternativoj	prononco
level	prezentas malplaĉan ĝenon	представлява неприятна неприятност	presents an unpleasant nuisance	grupo	alternativoj	prononco
level	prezentas per si malplaĉan ĝenon	се представя като неприятна неприятност	presents itself as an unpleasant nuisance	grupo	alternativoj	prononco
level	en loko arboplena	на място пълно с дървета	in a place full of trees	grupo	alternativoj	prononco
level	tiam, kiam oni devojiĝis	тогава, когато някой се заблуди	then, when one went astray	grupo	alternativoj	prononco
level	en nehoma sovaĝejo	в нечовешка пустош	in an inhuman wilderness	grupo	alternativoj	prononco
level	kaj ekstervoje iraĉas	и излиза от пътя в хаос	and goes off the road in chaos	grupo	alternativoj	prononco
level	alta larĝa korpo	високо голямо тяло	a tall large body	grupo	alternativoj	prononco
level	ne sukcesis pasi ~	не успя да премине ~	failed to pass ~	grupo	alternativoj	prononco
level	inter la arbetoj	сред храстите	among the bushes	grupo	alternativoj	prononco
level	krome tuŝi la naturaĵojn	в допълнение към докосването до естествените неща	in addition to touching the natural things	grupo	alternativoj	prononco
level	ĝenerale malsekajn	като цяло мокри	generally wet	grupo	alternativoj	prononco
level	meze de malsekaj naturaĵoj	в средата на мократа природа	in the middle of wet nature	grupo	alternativoj	prononco
level	malsekaj naturaĵoj, meze de kiuj ~	мокри естествени неща, в средата на които ~	wet natural things, in the middle of which ~	grupo	alternativoj	prononco
level	li malfacile paŝis	ходеше трудно	he walked with difficulty	grupo	alternativoj	prononco
level	estis travivaĵo	беше преживяване	it was an experience	grupo	alternativoj	prononco
level	ne malofte	не е необичайно	not uncommon	grupo	alternativoj	prononco
level	doloriga kaj ĉiam malagrabla	болезнено и винаги неприятно	painful and always unpleasant	grupo	alternativoj	prononco
level	ju pli ~	толкова повече ~	the more ~	grupo	alternativoj	prononco
level	antaŭeniris en la vivo	продължи напред в живота	moved forward in life	grupo	alternativoj	prononco
level	en la kastela arbaro	в гората на замъка	in the castle forest	grupo	alternativoj	prononco
level	ju pli antaŭeniris des pli malŝatis ~	колкото по-напред вървеше, толкова по-нехаресван ~	the further went forward the more disliked ~	grupo	alternativoj	prononco
level	malŝatis la noktan naturon	не харесваше нощната природа	disliked the nocturnal nature	grupo	alternativoj	prononco
level	viro kun okuloj bone videblaj	човек с очи, които могат да се видят ясно	a man with eyes that can be seen clearly	grupo	alternativoj	prononco
level	okuloj, kiuj kapablis bone vidi	очи, които виждаха добре	eyes that could see well	grupo	alternativoj	prononco
level	bone vidi en la mallumo	да вижда добре в тъмното	to see well in the dark	grupo	alternativoj	prononco
level	rigardis la malfacilan iron	погледна трудното вървене	looked at the difficult going	grupo	alternativoj	prononco
level	de nia industriisto	от нашия индустриалец	from our industrialist	grupo	alternativoj	prononco
level	li ridetis	той се усмихна	he smiled	grupo	alternativoj	prononco
level	apud tiu viro	до този човек	next to that man	grupo	alternativoj	prononco
level	en vestaĵo de policano	в полицейско облекло	in policeman's clothing	grupo	alternativoj	prononco
level	staris alia persono	друг човек стоеше	another person was standing	grupo	alternativoj	prononco
level	en simila vestaĵo	в подобни дрехи	in similar clothing	grupo	alternativoj	prononco
level	ĉi lasta estis virino	последната беше жена	the latter was a woman	grupo	alternativoj	prononco
level	ni iru	да тръгваме	let's go	grupo	alternativoj	prononco
level	la viro diris mallaŭte	- тихо каза мъжът	the man said softly	grupo	alternativoj	prononco
level	en la orelon de sia kunulino	в ухото на своя спътник	into the ear of his companion	grupo	alternativoj	prononco
level	nun estas la ĝusta momento	сега е подходящият момент	now is the right moment	grupo	alternativoj	prononco
level	ambaŭ paŝis direkte al la persono	и двамата пристъпиха към човека	both stepped toward the person	grupo	alternativoj	prononco
level	ili zorgis fari ~	внимаваха да направят ~	they were careful to do ~	grupo	alternativoj	prononco
level	kiel eble plej ~	възможно като ~	as possible as ~	grupo	alternativoj	prononco
level	kiel eble plej malmulte da bruo	възможно най-малко шум (kiel eble)	as little noise as possible (kiel eble)	grupo	alternativoj	prononco
level	laŭeble plej malmulte da bruo	възможно най-малко шум (laŭeble)	as little noise as possible (laŭeble)	grupo	alternativoj	prononco
